month,mc_avg_views,mc_avg_views_change,mc_avg_views_percentage,mc_peak_views,mc_avg_streams,mc_avg_streams_change,mc_avg_streams_percentage,mc_peak_streams,mc_hours_watched,mc_months_since_major_release,tw_avg_views,tw_avg_views_change,tw_avg_views_percentage,tw_peak_views,tw_avg_streams,tw_avg_streams_change,tw_avg_streams_percentage,tw_peak_streams,tw_hours_watched
12-2016,"13,623","2,827",26.20%,"91,193",487,52,12.00%,"1,143","10,100,000",1,"658,856","33,912",5.43%,"1,394,864","22,266","1,551",7.49%,"36,861","490,188,000"
01-2017,"9,500","-4,123",-30.30%,"112,818",441,-46,-9.40%,964,"6,380,000",2,"811,303","152,447",23.14%,"2,214,408","24,140","1,874",8.42%,"40,359","603,609,000"
02-2017,"7,561","-1,939",-20.40%,"39,172",375,-66,-15.00%,921,"5,620,000",3,"744,912","-66,391",-8.18%,"1,516,096","24,189",49,0.20%,"40,226","500,580,000"
03-2017,"9,052","1,491",19.70%,"55,970",366,-9,-2.40%,788,"6,480,000",4,"693,883","-51,029",-6.85%,"1,499,797","23,070","-1,119",-4.63%,"39,602","516,248,000"
04-2017,"8,727",-325,-3.60%,"92,942",348,-18,-4.90%,773,"6,340,000",5,"743,599","49,716",7.16%,"1,825,335","22,055","-1,015",-4.40%,"36,939","535,391,000"
05-2017,"7,255","-1,472",-16.90%,"44,423",398,50,14.40%,711,"5,220,000",6,"681,177","-62,422",-8.39%,"1,514,023","22,334",279,1.27%,"36,138","506,795,000"
06-2017,"7,331",76,1.00%,"34,593",456,58,14.60%,751,"5,450,000",0,"709,453","28,276",4.15%,"1,935,763","23,385","1,051",4.71%,"36,332","510,806,000"
07-2017,"6,581",-750,-10.20%,"41,770",407,-49,-10.70%,723,"4,890,000",1,"761,585","52,132",7.35%,"1,803,282","25,775","2,390",10.22%,"43,220","566,619,000"
08-2017,"5,591",-990,-15.00%,"51,784",311,-96,-23.60%,681,"4,020,000",2,"717,126","-44,459",-5.84%,"1,825,851","24,683","-1,092",-4.24%,"36,498","533,541,000"
09-2017,"5,778",187,3.30%,"40,452",295,-16,-5.10%,624,"4,300,000",3,"732,925","15,799",2.20%,"1,523,472","25,014",331,1.34%,"39,371","527,706,000"
10-2017,"8,718","2,940",50.90%,"60,956",293,-2,-0.70%,660,"6,270,000",4,"786,615","53,690",7.33%,"1,839,292","25,697",683,2.73%,"41,320","585,241,000"
11-2017,"5,968","-2,750",-31.50%,"51,526",314,21,7.20%,665,"4,440,000",5,"800,139","13,524",1.72%,"1,531,761","26,766","1,069",4.16%,"44,449","576,100,000"
12-2017,"5,368",-600,-10.10%,"36,901",346,32,10.20%,680,"3,990,000",6,"780,276","-19,863",-2.48%,"1,498,407","28,613","1,847",6.90%,"45,220","580,525,000"
01-2018,"4,956",-412,-7.70%,"32,804",324,-22,-6.40%,643,"3,320,000",7,"967,916","187,640",24.05%,"2,311,939","33,546","4,933",17.24%,"54,656","720,129,000"
02-2018,"4,874",-82,-1.70%,"30,852",302,-22,-6.80%,609,"3,630,000",8,"915,860","-52,056",-5.38%,"1,749,553","35,502","1,956",5.83%,"57,318","615,457,000"
03-2018,"5,553",679,13.90%,"26,632",306,4,1.30%,605,"3,990,000",9,"969,647","53,787",5.87%,"2,375,935","38,946","3,444",9.70%,"64,863","721,417,000"
04-2018,"4,129","-1,424",-25.60%,"16,503",287,-19,-6.20%,545,"3,070,000",10,"1,013,037","43,390",4.47%,"2,008,096","39,451",505,1.30%,"63,445","729,386,000"
05-2018,"4,273",144,3.50%,"27,221",325,38,13.20%,562,"3,080,000",11,"1,024,179","11,142",1.10%,"1,716,239","38,701",-750,-1.90%,"60,793","761,989,000"
06-2018,"7,063","2,790",65.30%,"48,624",389,64,19.70%,682,"5,130,000",12,"1,095,605","71,426",6.97%,"2,849,922","39,701","1,000",2.58%,"59,592","788,835,000"
07-2018,"7,171",108,1.50%,"45,520",411,22,5.70%,864,"5,330,000",0,"1,069,217","-26,388",-2.41%,"2,047,133","41,605","1,904",4.80%,"62,763","795,497,000"
08-2018,"5,599","-1,572",-21.90%,"66,446",339,-72,-17.50%,685,"4,030,000",1,"1,150,362","81,145",7.59%,"3,987,461","44,333","2,728",6.56%,"69,289","855,869,000"
09-2018,"5,914",315,5.60%,"44,378",330,-9,-2.70%,651,"4,390,000",2,"1,132,031","-18,331",-1.59%,"2,425,138","44,195",-138,-0.31%,"71,244","815,062,000"
10-2018,"5,963",49,0.80%,"45,400",349,19,5.80%,749,"4,290,000",3,"1,146,076","14,045",1.24%,"2,112,623","43,505",-690,-1.56%,"72,071","852,680,000"
11-2018,"8,581","2,618",43.90%,"35,952",398,49,14.00%,765,"6,380,000",4,"1,202,989","56,913",4.97%,"2,410,845","45,448","1,943",4.47%,"82,132","866,152,000"
12-2018,"14,525","5,944",69.30%,"62,247",535,137,34.40%,"1,011","10,800,000",5,"1,136,970","-66,019",-5.49%,"2,015,768","48,134","2,686",5.91%,"75,444","845,905,000"
01-2019,"9,327","-5,198",-35.80%,"83,222",494,-41,-7.70%,933,"6,270,000",6,"1,275,970","139,000",12.23%,"2,348,770","55,790","7,656",15.91%,"113,140","949,321,000"
02-2019,"7,309","-2,018",-21.60%,"38,240",527,33,6.70%,"1,027","5,430,000",7,"1,311,897","35,927",2.82%,"2,631,860","56,295",505,0.91%,"126,077","881,594,000"
03-2019,"8,546","1,237",16.90%,"36,168",597,70,13.30%,"1,224","6,150,000",8,"1,274,016","-37,881",-2.89%,"2,633,655","54,953","-1,342",-2.38%,"91,757","947,867,000"
04-2019,"11,983","3,437",40.20%,"75,107",767,170,28.50%,"1,465","8,910,000",0,"1,234,112","-39,904",-3.13%,"2,367,045","51,261","-3,692",-6.72%,"85,762","888,560,000"
05-2019,"23,719","11,736",97.90%,"207,007",944,177,23.10%,"1,580","17,100,000",1,"1,262,560","28,448",2.31%,"2,591,814","48,294","-2,967",-5.79%,"113,033","939,344,000"
06-2019,"25,154","1,435",6.10%,"152,961","1,474",530,56.10%,"2,548","18,700,000",2,"1,304,579","42,019",3.33%,"3,600,890","47,898",-396,-0.82%,"71,572","939,296,000"
07-2019,"44,007","18,853",75.00%,"232,627","1,750",276,18.70%,"2,981","32,700,000",3,"1,232,595","-71,984",-5.52%,"2,967,340","48,055",157,0.33%,"95,925","917,050,000"
08-2019,"32,791","-11,216",-25.50%,"184,336","1,404",-346,-19.80%,"2,951","23,600,000",4,"1,342,856","110,261",8.95%,"2,528,775","48,447",392,0.82%,"71,427","999,084,000"
09-2019,"20,320","-12,471",-38.00%,"152,441",983,-421,-30.00%,"2,142","14,600,000",5,"1,219,579","-123,277",-9.18%,"2,863,709","46,184","-2,263",-4.67%,"74,336","878,096,000"
10-2019,"21,917","1,597",7.90%,"169,838",858,-125,-12.70%,"1,798","15,300,000",6,"1,212,488","-7,091",-0.58%,"3,074,043","45,179","-1,005",-2.18%,"96,579","902,091,000"
11-2019,"22,814",897,4.10%,"158,834",984,126,14.70%,"1,863","16,900,000",7,"1,222,247","9,759",0.80%,"2,906,302","45,644",465,1.03%,"76,061","880,017,000"
12-2019,"25,181","2,367",10.40%,"181,415","1,133",149,15.10%,"2,157","18,700,000",0,"1,184,935","-37,312",-3.05%,"2,637,986","45,633",-11,-0.02%,"90,894","881,591,000"
01-2020,"24,695",-486,-1.90%,"128,712","1,147",14,1.20%,"2,211","17,200,000",1,"1,357,375","172,440",14.55%,"2,422,452","52,821","7,188",15.75%,"87,577","1,009,887,000"
02-2020,"30,815","6,120",24.80%,"218,354","1,572",425,37.10%,"3,740","22,900,000",2,"1,410,516","53,141",3.91%,"2,660,358","53,816",995,1.88%,"84,216","981,719,000"
03-2020,"57,198","26,383",85.60%,"315,138","2,318",746,47.50%,"4,077","41,000,000",3,"1,638,049","227,533",16.13%,"3,390,275","66,011","12,195",22.66%,"132,239","1,218,708,000"
04-2020,"55,279","-1,919",-3.40%,"471,158","2,395",77,3.30%,"4,053","41,000,000",4,"2,488,881","850,832",51.94%,"4,469,389","93,750","27,739",42.02%,"164,010","1,791,994,000"
05-2020,"54,008","-1,271",-2.30%,"402,300","2,399",4,0.20%,"4,733","38,800,000",5,"2,359,765","-129,116",-5.19%,"4,041,905","100,364","6,614",7.05%,"157,531","1,755,665,000"
06-2020,"71,067","17,059",31.60%,"449,180","2,802",403,16.80%,"4,438","52,800,000",0,"2,262,771","-96,994",-4.11%,"6,059,527","93,932","-6,432",-6.41%,"198,475","1,629,195,000"
07-2020,"54,159","-16,908",-23.80%,"379,909","2,610",-192,-6.90%,"4,548","40,300,000",1,"2,115,411","-147,360",-6.51%,"3,968,485","95,809","1,877",2.00%,"140,267","1,573,865,000"
08-2020,"54,132",-27,-0.05%,"436,729","2,151",-459,-17.60%,"3,798","38,900,000",2,"2,178,080","62,669",2.96%,"3,853,983","96,309",500,0.52%,"144,612","1,620,491,000"
09-2020,"66,991","12,859",23.80%,"477,229","2,424",273,12.70%,"4,496","49,800,000",3,"2,202,200","24,120",1.11%,"4,815,916","91,861","-4,448",-4.62%,"143,767","1,585,584,000"
10-2020,"106,287","39,296",58.70%,"620,179","3,101",677,27.90%,"6,146","76,500,000",4,"2,385,206","183,006",8.31%,"4,227,087","95,074","3,213",3.50%,"159,585","1,774,195,000"
11-2020,"96,987","-9,300",-8.70%,"591,770","3,677",576,18.60%,"7,060","72,000,000",5,"2,487,091","101,885",4.27%,"4,378,343","103,917","8,843",9.30%,"185,013","1,790,291,000"
12-2020,"107,560","10,573",10.90%,"922,725","4,826","1,149",31.20%,"9,914","79,900,000",6,"2,522,869","35,778",1.44%,"4,839,431","106,845","2,928",2.82%,"233,935","1,875,753,000"
01-2021,"122,451","14,891",13.80%,"641,659","5,245",419,8.70%,"9,860","82,200,000",7,"2,919,533","396,664",15.72%,"6,577,002","119,271","12,426",11.63%,"199,961","2,171,159,000"
02-2021,"117,836","-4,615",-3.80%,"699,936","4,597",-648,-12.40%,"9,482","87,700,000",8,"2,945,135","25,602",0.88%,"5,345,779","122,623","3,352",2.81%,"201,046","1,979,130,000"
03-2021,"111,124","-6,712",-5.70%,"751,176","4,323",-274,-6.00%,"8,919","80,000,000",9,"2,931,862","-13,273",-0.45%,"5,247,614","116,994","-5,629",-4.59%,"198,919","2,181,305,000"
04-2021,"103,002","-8,122",-7.30%,"974,070","3,804",-519,-12.00%,"7,752","76,600,000",10,"3,108,249","176,387",6.02%,"6,248,256","115,681","-1,313",-1.12%,"201,703","2,237,939,000"
05-2021,"100,467","-2,535",-2.50%,"504,532","3,952",148,3.90%,"7,618","72,200,000",11,"3,101,443","-6,806",-0.22%,"5,834,947","110,367","-5,314",-4.59%,"184,389","2,307,473,000"
06-2021,"71,887","-28,580",-28.40%,"903,271","3,790",-162,-4.10%,"6,279","53,500,000",0,"2,726,890","-374,553",-12.08%,"5,794,269","101,766","-8,601",-7.79%,"155,897","1,963,360,000"
07-2021,"102,101","30,214",42.00%,"897,758","3,576",-214,-5.60%,"6,030","75,900,000",1,"2,625,922","-100,968",-3.70%,"4,410,253","101,644",-122,-0.12%,"146,192","1,953,685,000"
08-2021,"105,984","3,883",3.80%,"792,508","2,945",-631,-17.60%,"5,683","76,300,000",2,"2,654,138","28,216",1.07%,"4,735,443","100,606","-1,038",-1.02%,"190,526","1,974,678,000"
09-2021,"90,952","-15,032",-14.20%,"757,774","2,646",-299,-10.20%,"4,812","67,700,000",3,"2,579,471","-74,667",-2.81%,"5,536,383","95,407","-5,199",-5.17%,"207,420","1,857,219,000"
10-2021,"77,698","-13,254",-14.60%,"604,214","2,459",-187,-7.10%,"4,928","55,900,000",4,"2,715,300","135,829",5.27%,"6,178,196","91,763","-3,644",-3.82%,"141,130","2,020,183,000"
11-2021,"73,579","-4,119",-5.30%,"643,632","2,904",445,18.10%,"6,042","54,700,000",0,"2,518,858","-196,442",-7.23%,"5,942,939","90,772",-991,-1.08%,"144,459","1,813,577,000"
12-2021,"81,289","7,710",10.50%,"1,927,765","3,094",190,6.50%,"5,853","60,400,000",1,"2,516,311","-2,547",-0.10%,"4,888,478","90,628",-144,-0.16%,"211,931","1,872,135,000"
01-2022,"50,251","-31,038",-38.20%,"654,065","2,726",-368,-11.90%,"5,360","33,500,000",2,"2,912,618","396,307",15.75%,"5,511,753","104,935","14,307",15.79%,"170,755","2,166,987,000"
02-2022,"41,280","-8,971",-17.90%,"419,485","2,157",-569,-20.90%,"4,528","30,100,000",3,"2,956,999","44,381",1.52%,"5,521,343","105,264",329,0.31%,"166,897","1,986,610,000"
03-2022,"38,456","-2,824",-6.80%,"419,019","2,163",6,0.30%,"3,977","27,600,000",4,"2,604,898","-352,101",-11.91%,"4,773,720","97,502","-7,762",-7.37%,"168,555","1,930,663,000"
04-2022,"32,788","-5,668",-14.70%,"407,309","1,866",-297,-13.70%,"3,440","24,300,000",5,"2,590,519","-14,379",-0.55%,"5,022,181","93,126","-4,376",-4.49%,"142,408","1,863,014,000"
05-2022,"55,324","22,536",68.70%,"1,112,335","2,147",281,15.10%,"3,567","39,800,000",6,"2,538,326","-52,193",-2.01%,"5,238,641","87,294","-5,832",-6.26%,"130,952","1,886,399,000"
06-2022,"72,367","17,043",30.80%,"775,573","2,825",678,31.60%,"4,500","52,200,000",0,"2,543,567","5,241",0.21%,"6,647,412","89,662","2,368",2.71%,"197,306","1,830,944,000"
07-2022,"123,399","51,032",70.50%,"811,978","2,859",34,1.20%,"4,739","91,800,000",1,"2,544,008",441,0.02%,"4,471,235","93,426","3,764",4.20%,"132,626","1,892,317,000"
08-2022,"86,691","-36,708",-29.70%,"593,003","2,128",-731,-25.60%,"4,028","61,800,000",2,"2,618,840","74,832",2.94%,"4,820,732","92,551",-875,-0.94%,"136,460","1,947,980,000"
09-2022,"56,615","-30,076",-34.70%,"595,498","1,776",-352,-16.50%,"3,423","39,100,000",3,"2,516,312","-102,528",-3.92%,"4,637,155","88,756","-3,795",-4.10%,"134,450","1,809,647,000"
10-2022,"62,029","5,414",9.60%,"357,594","1,746",-30,-1.70%,"3,574","44,600,000",4,"2,512,789","-3,523",-0.14%,"4,593,854","88,402",-354,-0.40%,"132,613","1,841,874,000"
11-2022,"45,213","-16,816",-27.10%,"311,858","1,708",-38,-2.20%,"3,239","33,600,000",5,"2,365,483","-147,306",-5.86%,"5,317,917","87,108","-1,294",-1.46%,"135,287","1,703,147,000"
12-2022,"97,460","52,247",116.00%,"680,599","2,284",576,33.70%,"4,705","72,000,000",6,"2,235,405","-130,078",-5.50%,"3,894,245","82,484","-4,624",-5.31%,"193,327","1,663,141,000"
01-2023,"59,612","-37,848",-38.80%,"1,668,556","2,257",-27,-1.20%,"4,692","39,600,000",7,"2,486,686","251,281",11.24%,"5,527,225","91,078","8,594",10.42%,"145,267","1,850,094,000"
02-2023,"74,098","14,486",24.30%,"1,585,345","2,075",-182,-8.10%,"4,098","54,400,000",8,"2,545,563","58,877",2.37%,"5,338,297","94,383","3,305",3.63%,"149,347","1,710,618,000"
